sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
9a0bad0604f93cb5733958532c8cc9dac2b605d7,.gitignore,2,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,LICENSE.txt,202,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,README.txt,30,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,TODO.txt,42,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,build.xml,359,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,jackson-asl-0.9.4.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,junit-4.5.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,asm-3.0.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,paranamer-1.3.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,paranamer-ant-1.3.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,paranamer-generator-1.3.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,qdox-1.9.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,odict.py,1399,0,728,128,0,50,3892
9a0bad0604f93cb5733958532c8cc9dac2b605d7,__init__.py,318,0,173,39,0,4,588
9a0bad0604f93cb5733958532c8cc9dac2b605d7,_speedups.c,2329,0,1889,616,0,42,11734
9a0bad0604f93cb5733958532c8cc9dac2b605d7,decoder.py,354,0,251,63,0,9,1578
9a0bad0604f93cb5733958532c8cc9dac2b605d7,encoder.py,440,0,322,94,0,14,1696
9a0bad0604f93cb5733958532c8cc9dac2b605d7,scanner.py,65,0,57,23,0,2,400
9a0bad0604f93cb5733958532c8cc9dac2b605d7,tool.py,37,0,34,5,0,1,159
9a0bad0604f93cb5733958532c8cc9dac2b605d7,pyAntTasks-1.3.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,slf4j-api-1.5.6.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,slf4j-simple-1.5.6.jar,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,index.xml,30,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,site.xml,68,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,spec.xml,702,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,tabs.xml,35,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,avro-logo.png,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,favicon.ico,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,hadoop-logo.jpg,0,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,skinconf.xml,350,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,AvroRuntimeException.java,24,0,5,2,0,2,40
9a0bad0604f93cb5733958532c8cc9dac2b605d7,AvroTypeException.java,28,0,6,1,0,1,43
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Protocol.java,300,0,212,62,0,28,1736
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Schema.java,451,0,350,122,0,70,2789
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SchemaParseException.java,24,0,5,2,0,2,40
9a0bad0604f93cb5733958532c8cc9dac2b605d7,DataFileReader.java,208,0,149,36,0,18,1173
9a0bad0604f93cb5733958532c8cc9dac2b605d7,DataFileWriter.java,183,0,123,19,0,15,912
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SeekableFileInput.java,32,0,9,4,0,4,96
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SeekableInput.java,36,0,8,0,0,0,61
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericArray.java,37,0,8,0,0,0,51
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericData.java,250,0,217,85,0,15,1854
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericDatumReader.java,265,0,202,81,0,16,1655
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericDatumWriter.java,164,0,114,49,0,13,988
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericRecord.java,28,0,6,0,0,0,42
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericRequestor.java,57,0,29,4,0,4,218
9a0bad0604f93cb5733958532c8cc9dac2b605d7,GenericResponder.java,53,0,23,4,0,4,174
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,39,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,DatumReader.java,39,0,8,0,0,0,59
9a0bad0604f93cb5733958532c8cc9dac2b605d7,DatumWriter.java,36,0,8,0,0,0,59
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ValueReader.java,110,0,70,16,0,10,615
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ValueWriter.java,91,0,50,11,0,9,516
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,AvroRemoteException.java,44,0,18,5,0,4,125
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ByteBufferInputStream.java,69,0,41,8,0,4,274
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ByteBufferOutputStream.java,87,0,53,11,0,7,377
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ByteBufferValueReader.java,41,0,16,3,0,2,112
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ByteBufferValueWriter.java,44,0,18,3,0,3,117
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Requestor.java,105,0,61,9,0,6,500
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Responder.java,124,0,71,10,0,4,561
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SocketServer.java,118,0,82,15,0,8,525
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SocketTransceiver.java,87,0,57,11,0,6,350
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Transceiver.java,40,0,15,2,0,2,99
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,44,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ReflectData.java,194,0,148,57,0,6,1446
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ReflectDatumReader.java,92,0,65,12,0,4,483
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ReflectDatumWriter.java,61,0,35,8,0,4,284
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ReflectRequestor.java,77,0,46,9,0,8,374
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ReflectResponder.java,118,0,82,27,0,8,696
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,ProtocolTask.java,84,0,51,13,0,6,419
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SchemaTask.java,28,0,8,1,0,1,53
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificCompiler.java,225,0,170,53,0,13,1529
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificDatumReader.java,125,0,95,24,0,7,827
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificDatumWriter.java,43,0,19,4,0,3,151
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificRecord.java,30,0,8,0,0,0,52
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificRequestor.java,53,0,27,4,0,4,195
9a0bad0604f93cb5733958532c8cc9dac2b605d7,SpecificResponder.java,46,0,21,3,0,3,159
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,Utf8.java,80,0,51,17,0,8,352
9a0bad0604f93cb5733958532c8cc9dac2b605d7,package.html,23,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,overview.html,75,0,,,0,0,
9a0bad0604f93cb5733958532c8cc9dac2b605d7,__init__.py,15,0,0,0,0,0,0
