sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
22345c718b950fb69e8ad518136fc657038ed810,README.txt,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,LICENSE.txt,559,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,NOTICE.txt,15,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,README.txt,2,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,build.xml,296,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,commons-cli-2.0-SNAPSHOT.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,commons-codec-1.3.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,commons-httpclient-3.0.1.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,commons-logging-1.0.4.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,commons-logging-api-1.0.4.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,hadoop-0.15.3-core.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,jets3t-0.5.0.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,junit-3.8.1.LICENSE.txt,100,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,junit-3.8.1.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,kfs-0.1.LICENSE.txt,202,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,kfs-0.1.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,log4j-1.2.13.jar,0,0,,,0,0,
24c4bd048f94735a3bb6a70692247b7bd779ba92,xmlenc-0.52.jar,0,0,,,0,0,
f599de26606ac2d798df6c3643329ddc1385412d,junit-3.8.1.LICENSE.txt,0,100,,,0,0,
f599de26606ac2d798df6c3643329ddc1385412d,junit-3.8.1.jar,0,0,,,0,0,
f599de26606ac2d798df6c3643329ddc1385412d,junit-3.8.2.jar,0,0,,,0,0,
884c4a8675649ed4094e8f3ebf23ff7acdbb020a,build.xml,86,16,,,0,0,
1c0d31d54050dce298524a5197acab5552694a14,build.xml,2,2,,,0,0,
1c0d31d54050dce298524a5197acab5552694a14,Canopy.java,358,0,165,38,0,20,1248
1c0d31d54050dce298524a5197acab5552694a14,CanopyClusteringJob.java,54,0,20,3,0,2,178
1c0d31d54050dce298524a5197acab5552694a14,CanopyCombiner.java,57,0,31,3,0,2,274
1c0d31d54050dce298524a5197acab5552694a14,CanopyDriver.java,84,0,50,5,0,2,421
1c0d31d54050dce298524a5197acab5552694a14,CanopyMapper.java,60,0,24,2,0,2,204
1c0d31d54050dce298524a5197acab5552694a14,CanopyReducer.java,71,0,31,4,0,2,270
1c0d31d54050dce298524a5197acab5552694a14,ClusterDriver.java,85,0,49,5,0,2,424
1c0d31d54050dce298524a5197acab5552694a14,ClusterMapper.java,85,0,50,5,0,3,402
1c0d31d54050dce298524a5197acab5552694a14,DistanceMeasure.java,36,0,5,0,0,0,44
1c0d31d54050dce298524a5197acab5552694a14,EuclideanDistanceMeasure.java,46,0,14,3,0,2,107
1c0d31d54050dce298524a5197acab5552694a14,ManhattanDistanceMeasure.java,47,0,12,3,0,2,95
1c0d31d54050dce298524a5197acab5552694a14,DummyOutputCollector.java,56,0,31,5,0,4,241
1c0d31d54050dce298524a5197acab5552694a14,TestCanopyCreation.java,799,0,528,87,0,32,5289
1c0d31d54050dce298524a5197acab5552694a14,UserDefinedDistanceMeasure.java,22,0,3,0,0,0,18
1c0d31d54050dce298524a5197acab5552694a14,VisibleCanopy.java,59,0,20,4,0,3,137
b7c044dc0c472a8a747541889e0cc450585e1d92,Canopy.java,1,0,166,38,20,0,1259
b7c044dc0c472a8a747541889e0cc450585e1d92,DistanceMeasure.java,1,1,5,0,0,0,42
b7c044dc0c472a8a747541889e0cc450585e1d92,EuclideanDistanceMeasure.java,1,1,14,3,2,0,105
b7c044dc0c472a8a747541889e0cc450585e1d92,ManhattanDistanceMeasure.java,1,1,12,3,2,0,93
b7c044dc0c472a8a747541889e0cc450585e1d92,TestCanopyCreation.java,4,0,532,87,32,0,5333
b7c044dc0c472a8a747541889e0cc450585e1d92,UserDefinedDistanceMeasure.java,3,1,4,0,0,0,27
4e3e255cd97f083679a14a46b27e35b3908c6310,hadoop-0.15.3-core.jar,0,0,,,0,0,
4e3e255cd97f083679a14a46b27e35b3908c6310,hadoop-0.16.0-core.jar,0,0,,,0,0,
5339db364918df7a20fd4345558facc5f71dda91,Canopy.java,44,84,148,32,20,13,1094
5339db364918df7a20fd4345558facc5f71dda91,CanopyClusteringJob.java,10,10,20,3,2,2,178
5339db364918df7a20fd4345558facc5f71dda91,CanopyCombiner.java,15,15,31,3,2,2,291
5339db364918df7a20fd4345558facc5f71dda91,CanopyDriver.java,8,8,50,5,2,2,421
