sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,49,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,BaseDao.java,225,0,153,33,0,16,882
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,DaoManager.java,37,0,25,5,0,2,139
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,DaoManagerBase.java,67,0,34,10,0,6,208
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAHBaseAuditEventDao.java,10,0,7,1,0,1,43
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAHdfsAuditEventDao.java,10,0,7,1,0,1,43
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAHiveAuditEventDao.java,10,0,7,1,0,1,43
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAKnoxAuditEventDao.java,29,0,7,1,0,1,43
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXBaseAuditEvent.java,207,0,165,32,0,32,915
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXBaseAuditEvent_.java,27,0,25,0,0,0,240
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHBaseAuditEvent.java,65,0,45,8,0,8,250
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHBaseAuditEvent_.java,13,0,11,0,0,0,92
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHdfsAuditEvent.java,56,0,38,6,0,6,212
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHdfsAuditEvent_.java,12,0,10,0,0,0,81
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHiveAuditEvent.java,67,0,47,8,0,8,260
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXHiveAuditEvent_.java,13,0,11,0,0,0,92
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XXKnoxAuditEvent.java,82,0,44,8,0,8,239
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AuditEventBase.java,295,0,168,35,0,33,915
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,EnumRepositoryType.java,16,0,8,0,0,0,55
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HBaseAuditEvent.java,99,0,64,10,0,10,335
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HdfsAuditEvent.java,81,0,54,8,0,8,277
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HiveAuditEvent.java,99,0,64,10,0,10,335
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,KnoxAuditEvent.java,91,0,40,9,0,9,200
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AsyncAuditProvider.java,322,0,239,52,0,22,1311
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AuditProvider.java,39,0,17,0,0,0,126
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AuditProviderFactory.java,289,0,185,43,0,13,1238
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,DbAuditProvider.java,302,0,216,51,0,22,1280
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,DummyAuditProvider.java,77,0,39,10,0,10,164
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,Log4jAuditProvider.java,101,0,58,15,0,11,319
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,MultiDestAuditProvider.java,163,0,113,31,0,15,599
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,TestEvents.java,98,0,71,8,0,1,631
