sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
5ff71e51f650c74636b17653fcc5172a653eab65,.gitignore,24,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,DISCLAIMER,1,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,HEADER,16,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,LICENSE,580,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,README.md,55,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,RELEASE.md,16,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,build.gradle,182,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,README.md,35,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,_config.yml,5,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,default.html,77,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,page.html,7,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,TODO.md,95,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,generate-javadocs.sh,23,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,publish-site.sh,34,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,committers.md,46,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,irc.md,12,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,mailing-lists.md,16,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,code.md,16,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,coding-guide.md,97,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,disclaimer.md,6,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,projects.md,20,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,rules.md,22,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,seps.md,27,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,main.css,161,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,mupd8-samza.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,mupd8.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,checkpointing-2.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,checkpointing.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,job-flow.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,metrics.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,tasks-and-partitions.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,dag.graffle,1009,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,dag.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,group-by-example.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,job.graffle,512,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,job.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,job_detail.graffle,1320,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,job_detail.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza-ecosystem.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza-hadoop.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza-yarn-integration.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza-yarn-kafka-integration.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza_state.graffle,1654,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,samza_state.png,0,0,,,0,0,
5ff71e51f650c74636b17653fcc5172a653eab65,stream.graffle,2670,0,,,0,0,
