sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
319857233b75121f357801cbdd9b5028e3057dbd,Makefile,136,0,,,0,0,
319857233b75121f357801cbdd9b5028e3057dbd,t_cpp_generator.cc,510,0,339,61,0,19,2293
319857233b75121f357801cbdd9b5028e3057dbd,t_cpp_generator.h,56,0,30,2,0,2,198
319857233b75121f357801cbdd9b5028e3057dbd,t_generator.cc,45,0,26,5,0,1,230
319857233b75121f357801cbdd9b5028e3057dbd,t_generator.h,63,0,31,9,0,8,180
319857233b75121f357801cbdd9b5028e3057dbd,globals.h,15,0,4,0,0,0,17
319857233b75121f357801cbdd9b5028e3057dbd,main.cc,159,0,90,14,0,5,489
319857233b75121f357801cbdd9b5028e3057dbd,main.h,19,0,7,0,0,0,51
319857233b75121f357801cbdd9b5028e3057dbd,t_base_type.h,34,0,19,3,0,3,77
319857233b75121f357801cbdd9b5028e3057dbd,t_constant.h,26,0,16,6,0,6,109
319857233b75121f357801cbdd9b5028e3057dbd,t_enum.h,22,0,13,6,0,6,92
319857233b75121f357801cbdd9b5028e3057dbd,t_field.h,29,0,14,5,0,5,94
319857233b75121f357801cbdd9b5028e3057dbd,t_function.h,51,0,30,8,0,7,190
319857233b75121f357801cbdd9b5028e3057dbd,t_list.h,27,0,11,4,0,4,66
319857233b75121f357801cbdd9b5028e3057dbd,t_program.h,90,0,57,18,0,18,440
319857233b75121f357801cbdd9b5028e3057dbd,t_service.h,23,0,14,6,0,6,99
319857233b75121f357801cbdd9b5028e3057dbd,t_struct.h,23,0,14,4,0,4,71
319857233b75121f357801cbdd9b5028e3057dbd,t_type.h,31,0,15,8,0,8,100
319857233b75121f357801cbdd9b5028e3057dbd,t_typedef.h,31,0,14,5,0,5,93
319857233b75121f357801cbdd9b5028e3057dbd,thrift.l,59,0,,,0,0,
319857233b75121f357801cbdd9b5028e3057dbd,thrift.y,318,0,,,0,0,
319857233b75121f357801cbdd9b5028e3057dbd,test.thrift,27,0,,,0,0,
319857233b75121f357801cbdd9b5028e3057dbd,README,20,0,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,Makefile,24,53,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,t_cpp_generator.cc,571,145,672,108,19,29,4717
e8540637aaaf017f9e08e1e0d68663f814538862,t_cpp_generator.h,73,8,74,4,2,2,488
e8540637aaaf017f9e08e1e0d68663f814538862,t_generator.cc,4,0,28,5,1,1,245
e8540637aaaf017f9e08e1e0d68663f814538862,t_generator.h,33,2,47,12,8,4,272
e8540637aaaf017f9e08e1e0d68663f814538862,main.cc,3,0,92,15,5,1,507
e8540637aaaf017f9e08e1e0d68663f814538862,t_base_type.h,1,0,20,4,3,1,89
e8540637aaaf017f9e08e1e0d68663f814538862,t_list.h,7,15,10,4,4,6,57
e8540637aaaf017f9e08e1e0d68663f814538862,t_map.h,19,0,12,5,0,5,79
e8540637aaaf017f9e08e1e0d68663f814538862,t_program.h,33,7,79,20,18,6,532
e8540637aaaf017f9e08e1e0d68663f814538862,t_set.h,18,0,10,4,0,4,57
e8540637aaaf017f9e08e1e0d68663f814538862,t_struct.h,11,6,15,6,4,7,98
e8540637aaaf017f9e08e1e0d68663f814538862,t_type.h,6,0,20,15,8,5,164
e8540637aaaf017f9e08e1e0d68663f814538862,thrift.l,1,1,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,thrift.y,71,11,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,test.thrift,0,27,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,Makefile,28,0,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,TDispatcher.h,22,0,8,2,0,2,39
e8540637aaaf017f9e08e1e0d68663f814538862,Thrift.h,10,0,5,0,0,0,10
e8540637aaaf017f9e08e1e0d68663f814538862,TClient.h,16,0,9,2,0,2,41
e8540637aaaf017f9e08e1e0d68663f814538862,TSimpleClient.cc,44,0,24,5,0,4,149
e8540637aaaf017f9e08e1e0d68663f814538862,TSimpleClient.h,21,0,12,1,0,1,55
e8540637aaaf017f9e08e1e0d68663f814538862,TBinaryProtocol.cc,140,0,116,28,0,16,784
e8540637aaaf017f9e08e1e0d68663f814538862,TBinaryProtocol.h,42,0,26,2,0,2,216
e8540637aaaf017f9e08e1e0d68663f814538862,TProtocol.h,88,0,36,4,0,4,329
e8540637aaaf017f9e08e1e0d68663f814538862,TServer.h,36,0,16,2,0,2,67
e8540637aaaf017f9e08e1e0d68663f814538862,TSimpleServer.cc,60,0,31,7,0,1,175
e8540637aaaf017f9e08e1e0d68663f814538862,TSimpleServer.h,30,0,13,2,0,2,58
e8540637aaaf017f9e08e1e0d68663f814538862,TServerSocket.cc,90,0,70,13,0,5,399
e8540637aaaf017f9e08e1e0d68663f814538862,TServerSocket.h,29,0,14,0,0,0,52
e8540637aaaf017f9e08e1e0d68663f814538862,TServerTransport.h,24,0,10,2,0,2,47
e8540637aaaf017f9e08e1e0d68663f814538862,TSocket.cc,180,0,114,28,0,9,631
e8540637aaaf017f9e08e1e0d68663f814538862,TSocket.h,39,0,22,0,0,0,117
e8540637aaaf017f9e08e1e0d68663f814538862,TTransport.h,25,0,11,2,0,2,70
e8540637aaaf017f9e08e1e0d68663f814538862,ThriftTest.thrift,57,0,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,Makefile,34,0,,,0,0,
e8540637aaaf017f9e08e1e0d68663f814538862,TestClient.cc,327,0,251,27,0,1,1712
e8540637aaaf017f9e08e1e0d68663f814538862,TestServer.cc,254,0,211,30,0,18,1327
b15a68bd89428630ac1775812082a7c4a034c3b7,Makefile,13,15,,,0,0,
b15a68bd89428630ac1775812082a7c4a034c3b7,t_cpp_generator.cc,419,246,802,134,28,31,5694
b15a68bd89428630ac1775812082a7c4a034c3b7,t_cpp_generator.h,20,42,54,2,4,2,375
b15a68bd89428630ac1775812082a7c4a034c3b7,t_java_generator.cc,1118,0,807,132,0,31,5642
b15a68bd89428630ac1775812082a7c4a034c3b7,t_java_generator.h,107,0,60,2,0,2,411
b15a68bd89428630ac1775812082a7c4a034c3b7,t_oop_generator.h,44,0,22,3,0,3,98
b15a68bd89428630ac1775812082a7c4a034c3b7,main.cc,38,10,115,21,5,2,638
b15a68bd89428630ac1775812082a7c4a034c3b7,t_field.h,3,0,16,6,5,1,122
b15a68bd89428630ac1775812082a7c4a034c3b7,t_function.h,1,20,16,5,7,2,101
b15a68bd89428630ac1775812082a7c4a034c3b7,t_struct.h,2,0,16,7,6,1,114
b15a68bd89428630ac1775812082a7c4a034c3b7,thrift.l,0,1,,,0,0,
b15a68bd89428630ac1775812082a7c4a034c3b7,thrift.y,1,1,,,0,0,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,Makefile,11,5,,,0,0,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TDispatcher.h,0,22,,,2,2,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TProcessor.h,24,0,10,3,0,3,57
8d7e1f62a85d91b159887eb406a5855bcbd6245e,Thrift.h,2,1,6,0,0,0,12
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TClient.h,0,16,,,2,2,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleClient.cc,0,44,,,4,4,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleClient.h,0,21,,,1,1,
