sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
047d9258a4730791b85cc81b0e1435465a32acbf,build.xml,193,0,,,0,0,
047d9258a4730791b85cc81b0e1435465a32acbf,BinaryInputArchive.java,122,0,78,25,0,20,496
047d9258a4730791b85cc81b0e1435465a32acbf,BinaryOutputArchive.java,114,0,70,20,0,17,485
047d9258a4730791b85cc81b0e1435465a32acbf,CsvInputArchive.java,210,0,161,50,0,21,1001
047d9258a4730791b85cc81b0e1435465a32acbf,CsvOutputArchive.java,149,0,104,26,0,19,641
047d9258a4730791b85cc81b0e1435465a32acbf,Index.java,39,0,5,0,0,0,24
047d9258a4730791b85cc81b0e1435465a32acbf,InputArchive.java,45,0,20,0,0,0,181
047d9258a4730791b85cc81b0e1435465a32acbf,OutputArchive.java,49,0,23,0,0,0,237
047d9258a4730791b85cc81b0e1435465a32acbf,Record.java,33,0,8,0,0,0,45
047d9258a4730791b85cc81b0e1435465a32acbf,RecordReader.java,98,0,57,9,0,5,341
047d9258a4730791b85cc81b0e1435465a32acbf,RecordWriter.java,117,0,75,14,0,7,436
047d9258a4730791b85cc81b0e1435465a32acbf,Utils.java,276,0,188,64,0,12,1514
047d9258a4730791b85cc81b0e1435465a32acbf,XmlInputArchive.java,251,0,194,57,0,30,1362
047d9258a4730791b85cc81b0e1435465a32acbf,XmlOutputArchive.java,253,0,196,41,0,28,1250
047d9258a4730791b85cc81b0e1435465a32acbf,CGenerator.java,79,0,37,4,0,2,317
047d9258a4730791b85cc81b0e1435465a32acbf,CppGenerator.java,79,0,37,4,0,2,317
047d9258a4730791b85cc81b0e1435465a32acbf,JBoolean.java,43,0,15,4,0,4,87
047d9258a4730791b85cc81b0e1435465a32acbf,JBuffer.java,107,0,72,13,0,12,513
047d9258a4730791b85cc81b0e1435465a32acbf,JByte.java,35,0,9,2,0,2,47
047d9258a4730791b85cc81b0e1435465a32acbf,JCompType.java,55,0,24,5,0,5,180
047d9258a4730791b85cc81b0e1435465a32acbf,JDouble.java,41,0,13,3,0,3,76
047d9258a4730791b85cc81b0e1435465a32acbf,JField.java,99,0,57,17,0,17,303
047d9258a4730791b85cc81b0e1435465a32acbf,JFile.java,73,0,32,7,0,3,222
047d9258a4730791b85cc81b0e1435465a32acbf,JFloat.java,40,0,12,3,0,3,63
047d9258a4730791b85cc81b0e1435465a32acbf,JInt.java,35,0,9,2,0,2,47
047d9258a4730791b85cc81b0e1435465a32acbf,JLong.java,39,0,12,3,0,3,67
047d9258a4730791b85cc81b0e1435465a32acbf,JMap.java,101,0,64,12,0,11,680
047d9258a4730791b85cc81b0e1435465a32acbf,JRecord.java,506,0,437,63,0,19,3973
047d9258a4730791b85cc81b0e1435465a32acbf,JString.java,47,0,19,5,0,4,115
047d9258a4730791b85cc81b0e1435465a32acbf,JType.java,142,0,94,22,0,21,608
047d9258a4730791b85cc81b0e1435465a32acbf,JVector.java,106,0,67,14,0,13,633
047d9258a4730791b85cc81b0e1435465a32acbf,JavaGenerator.java,59,0,22,3,0,2,131
