name,star,commit,contributor,time,language
zookeeper,11528,2510,191,"5272 days, 0:07:25","{'Java': 74.1511853651965, 'C++': 7.407454208800974, 'C': 6.555104521629612, 'JavaScript': 2.575711213896254, 'TLA': 2.262830360303816, 'Python': 1.7054408476606517, 'Perl': 1.6142291862695852, 'Shell': 1.217666280613188, 'XS': 0.7169733685759431, 'M4': 0.543061324020707, 'HTML': 0.45668490412541135, 'CSS': 0.2393079025390762, 'Mako': 0.14311479364588697, 'Makefile': 0.12173738686004848, 'CMake': 0.11000957649341603, 'Batchfile': 0.1058218187400593, 'XSLT': 0.06291035587586274, 'Dockerfile': 0.010756584753011061}"
jspwiki,95,9312,16,"5276 days, 6:00:56","{'Java': 77.12539899793842, 'JavaScript': 10.104854225729413, 'Less': 6.037561970371972, 'HTML': 4.234343833733015, 'CSS': 2.399720248256432, 'Dockerfile': 0.050152658059890054, 'Shell': 0.029654676406125905, 'Batchfile': 0.018313389504723523}"
wicket,697,21383,95,"5213 days, 15:18:47","{'Java': 87.44325417349008, 'HTML': 6.357436613993263, 'JavaScript': 4.713893279553703, 'CSS': 1.08278096051025, 'Logos': 0.19460749102031277, 'Shell': 0.1805175588903452, 'XSLT': 0.015246463095590527, 'Python': 0.010909471974504415, 'Dockerfile': 0.0011565309656229633, 'Less': 0.0001974565063258718}"
couchdb,5809,13321,171,"5201 days, 16:47:53","{'Erlang': 74.26136002714415, 'Elixir': 8.629938404062534, 'C': 4.700544174053067, 'JavaScript': 4.25814776311257, 'Python': 3.479561066327055, 'Java': 2.215003235503884, 'C++': 0.7053940730113529, 'Shell': 0.5954050163995891, 'Ruby': 0.3093095233299713, 'Makefile': 0.2969924016011742, 'Groovy': 0.29475879357278645, 'PowerShell': 0.14905783056495048, 'Batchfile': 0.10022831863800005, 'Dockerfile': 0.0042993726789197495}"
tika,1858,7667,118,"5222 days, 4:35:15","{'Java': 79.37259616480122, 'Rich Text Format': 17.594430320651426, 'HTML': 1.8881699928450262, 'Python': 0.5634532160266776, 'Shell': 0.2927954597470354, 'MATLAB': 0.14960329405319953, 'Groovy': 0.040451902672274165, 'JavaScript': 0.03411801682326427, 'SAS': 0.015572090087321886, 'Batchfile': 0.014027239880246302, 'mIRC Script': 0.011184715499227227, 'CSS': 0.010528154161220103, 'TeX': 0.008682058163764782, 'XSLT': 0.0019465112609152358, 'C++': 0.0013208469270496242, 'C': 0.0011200164001297984}"
cocoon,22,13204,18,"5185 days, 6:37:03","{'Java': 84.16982201209422, 'XSLT': 6.443770310375778, 'JavaScript': 6.035765458055882, 'HTML': 1.6648419777765617, 'PHP': 0.9845302567244297, 'CSS': 0.5239603620811104, 'Perl': 0.08830851829214541, 'Shell': 0.031791217147413155, 'Clean': 0.02774485692559583, 'Batchfile': 0.02279512325890766, 'Groovy': 0.006669907267963073}"
avro,2572,3889,295,"5220 days, 4:25:49","{'Java': 42.27593025770949, 'C#': 15.454113246906969, 'C': 9.654945004297845, 'Rust': 8.327800515108425, 'C++': 7.77407033076544, 'Python': 4.40706403329245, 'JavaScript': 3.4766505510251773, 'PHP': 2.6481075190183723, 'Ruby': 2.4993865519730676, 'Perl': 1.1521053407709971, 'HTML': 0.7774594518519207, 'Shell': 0.5977421749894989, 'M4': 0.29089453233600515, 'CMake': 0.2873537924143307, 'Dockerfile': 0.10194957294028088, 'LLVM': 0.077609458562513, 'Yacc': 0.051380290204186954, 'Makefile': 0.036861278458326235, 'CSS': 0.035249153857116904, 'Batchfile': 0.030561135078140074, 'Vim Script': 0.027346776210698157, 'Thrift': 0.015419032228744457}"
shiro,4164,2873,64,"5119 days, 11:34:22","{'Java': 89.63579600194738, 'Groovy': 9.693148764619597, 'HTML': 0.5371127562897275, 'CSS': 0.06866954597792095, 'Shell': 0.06527293116536274}"
thrift,9896,6830,322,"5097 days, 13:56:29","{'C++': 32.854645214072626, 'Java': 9.380417251511599, 'C': 7.202404508919336, 'Go': 4.918946104209812, 'D': 4.463210262613827, 'Pascal': 4.1207730650673815, 'C#': 3.6967390037525116, 'Python': 3.4651333331850367, 'Thrift': 3.3687944338064066, 'JavaScript': 3.090131538458479, 'Ruby': 2.6980082208924507, 'Rust': 2.4401675239898486, 'PHP': 2.383356423796517, 'Erlang': 2.3445970709118873, 'Haxe': 2.186054465721195, 'Swift': 1.7805170416785727, 'Makefile': 1.5238492364980447, 'Dart': 1.223272140066999, 'M4': 1.168719193476511, 'Perl': 0.8969925371056767, 'CMake': 0.8875622180299207, 'Dockerfile': 0.5908610568873381, 'Lua': 0.5502479958212698, 'Shell': 0.42313079987373214, 'TypeScript': 0.41630915376603733, 'Kotlin': 0.4118737356446311, 'Common Lisp': 0.27643844553020064, 'OCaml': 0.2647027875524372, 'HTML': 0.2459297792422297, 'Batchfile': 0.23525242011714223, 'Yacc': 0.20769620540542652, 'Smalltalk': 0.15465992914520663, 'Lex': 0.06607290034350223, 'Emacs Lisp': 0.03613719840252148, 'Vim Script': 0.019184194488635724, 'CSS': 0.007212610015052785}"
bigtop,531,2987,139,"4416 days, 12:42:33","{'Python': 44.59080972619389, 'Groovy': 14.663378906224816, 'Java': 14.345829109522187, 'Shell': 13.093397651307424, 'Puppet': 4.572160058094541, 'Jinja': 3.2811759812286136, 'Scala': 2.2005679999855587, 'Makefile': 0.9876948809085111, 'Roff': 0.8673694503892267, 'HTML': 0.6625119235899992, 'Ruby': 0.3366326982423358, 'CSS': 0.12434831246549281, 'Dockerfile': 0.10743157812759085, 'PigLatin': 0.08241750448770532, 'Batchfile': 0.04683047188663106, 'XSLT': 0.034117133428421195, 'CodeQL': 0.003326613917056942}"
